USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
010000,99999,BOGUS NORWAY,NO,,ENRS,,,,20010927,20041019
010010,99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,+70.933,-008.667,+0009.0,19310101,20150513
010013,99999,ROST,NO,,,,,,19861120,19880105
010014,99999,SORSTOKKEN,NO,,ENSO,+59.792,+005.341,+0048.8,19861120,20150512
010015,99999,BRINGELAND,NO,,,+61.383,+005.867,+0327.0,19870117,20111020
010016,99999,RORVIK/RYUM,NO,,,+64.850,+011.233,+0014.0,19870116,19910806
010017,99999,FRIGG,NO,,ENFR,+59.980,+002.250,+0048.0,19880320,20050228
010020,99999,VERLEGENHUKEN,NO,,,+80.050,+016.250,+0008.0,19861109,20150304
010030,99999,HORNSUND,NO,,,+77.000,+015.500,+0012.0,19850601,20150513
010040,99999,NY-ALESUND II,NO,,ENAS,+78.917,+011.933,+0008.0,19730101,20140523
010050,99999,ISFJORD RADIO,SV,,,+78.067,+013.633,+0009.0,19310103,20140523
010060,99999,EDGEOYA,NO,,,+78.250,+022.817,+0014.0,19730101,20150304
010070,99999,NY-ALESUND,SV,,,+78.917,+011.933,+0007.7,19730106,20150513
010071,99999,LONGYEARBYEN,SV,,,+78.217,+015.583,+0037.0,20050210,20050210
010080,99999,LONGYEAR,SV,,ENSB,+78.246,+015.466,+0026.8,19750929,20150513
010090,99999,KARL XII OYA,SV,,,+80.650,+025.000,+0005.0,19550101,20150304
010100,99999,ANDOYA,NO,,ENAN,+69.293,+016.144,+0013.1,19310103,20150513
010110,99999,KVITOYA,SV,,,+80.067,+031.500,+0010.0,19861118,20150304
010140,99999,SENJA-LAUKHELLA,NO,,,+69.233,+017.900,+0009.0,19730101,20140523
010150,99999,HEKKINGEN FYR,NO,,,+69.600,+017.833,+0014.0,19800314,20150513
010160,99999,KONGSOYA,NO,,,+78.933,+028.900,+0020.0,19930501,20150304
010170,99999,AKSELOYA,SV,,,+77.683,+014.783,+0006.0,19730101,20150304
010190,99999,SVARTTANGEN,NO,,,+77.517,+020.817,+0020.0,20100825,20140523
010200,99999,SORKAPPOYA,SV,,,+76.483,+016.550,+0010.0,20101008,20150305
010230,99999,BARDUFOSS,NO,,ENDU,+69.056,+018.540,+0076.8,19400713,20150513
010231,99999,DRAUGEN,NO,,ENDR,+64.350,+007.800,+0000.0,20040510,20150513
010240,99999,PYRAMIDEN,NO,,,+78.650,+016.367,+0020.0,19730101,20150304
010250,99999,TROMSO,NO,,ENTC,+69.683,+018.919,+0009.4,19730101,20150513
010260,99999,TROMSO,NO,,,+69.650,+018.933,+0114.5,19970201,20150513
010270,99999,TROMSO-HOLT,NO,,,+69.650,+018.900,+0020.0,20110928,20150513
010280,99999,BJORNOYA ISLAND,NO,,ENBJ,+74.517,+019.017,+0018.0,19310103,20150513
010300,99999,KISTEFJELL,NO,,,+69.283,+018.133,+0982.0,19510101,20150513
010303,99999,TROMSO/SKATTURA,NO,,,+69.700,+019.017,+0014.0,20150108,20150108
010320,99999,OVERBYGD,NO,,,+69.017,+019.283,+0078.0,19730101,20140523
010330,99999,TORSVAG FYR,NO,,,+70.250,+019.500,+0024.0,19730101,20150513
010340,99999,FUGLOYKALVEN FYR,NO,,,+70.317,+020.150,+0038.0,19871202,20140523
010350,99999,LYNGEN GJERDVASSBU,NO,,,+69.567,+020.100,+0710.0,19730101,20150513
010360,99999,NORDNESFJELLET,NO,,,+69.567,+020.433,+0710.0,20040510,20150513
010370,99999,SKIBOTN 2,NO,,,+69.383,+020.283,+0020.0,19730101,20150513
010400,99999,SKJERVOY,NO,,,+70.033,+020.983,+0015.0,19730101,19780927
010410,99999,NORDREISA-OYENG,NO,,,+69.733,+021.017,+0005.0,19730101,20140523
010420,99999,HASVIK-SLUSKFJELLET,NO,,,+70.600,+022.450,+0438.0,20080917,20150513
010430,99999,ROGNSUNDET,NO,,,+70.417,+022.817,+0010.0,19730101,20150513
010435,99999,HASVIK,NO,,,+70.483,+022.150,+0007.0,19750515,20111014
010440,99999,HASVIK,NO,,ENHK,+70.487,+022.140,+0006.4,20110928,20150513
010450,99999,NORDSTRAUM I KVAENANGEN,NO,,,+69.833,+021.883,+0006.0,19730101,20150512
010460,99999,SORKJOSEN,NO,,ENSR,+69.787,+020.959,+0004.9,19750905,20150513
010470,99999,KAUTOKEINO II,NO,,ENKA,+69.017,+023.067,+0307.0,19730101,20150513
010490,99999,ALTA,NO,,ENAT,+69.976,+023.372,+0002.7,19730101,20150513
010510,99999,SUOLOVUOPMI,NO,,,+69.583,+023.533,+0374.0,19730102,20140523
010520,99999,HAMMERFEST AP,NO,,ENHF,+70.683,+023.683,+0081.0,19401008,20150513
010530,99999,HAMMERFEST RADIO,NO,,,+70.683,+023.683,+0070.0,19730101,19871226
010550,99999,FRUHOLMEN FYR,NO,,,+71.100,+023.983,+0014.2,19310101,20150513
010570,99999,CUOVDDATMOHKKI,NO,,,+69.367,+024.433,+0286.0,19730101,20150512
010580,99999,SUOLOVUOPMI LULIT,NO,,,+69.567,+023.533,+0381.0,20050218,20150513
010590,99999,BANAK,NO,,ENNA,+70.069,+024.973,+0007.6,19730101,20150513
010610,99999,BRENNELV,NO,,,+70.067,+025.117,+0034.0,19730101,19840707
010617,99999,OSEBERG,NO,,,,,,19890101,19901001
010620,99999,HOPEN ISLAND,NO,,ENHO,+76.500,+025.067,+0010.0,19550101,20150513
010630,99999,KISTRAND III,NO,,,+70.450,+025.217,+0006.0,19730101,19870715
010650,99999,KARASJOK,NO,,,+69.467,+025.517,+0133.0,19730101,20150513
010660,99999,HELNES FYR,NO,,,+71.067,+026.233,+0033.0,19730101,20040619
010670,99999,LEVAJOK-EVJEN,NO,,,+69.900,+026.417,+0112.0,19730103,19820924
010671,99999,LEVAJOK-EVJEN,NO,,,+69.900,+026.417,+0112.0,20070307,20070307
010680,99999,HONNINGSVAG/VALAN,NO,,ENHV,+71.017,+025.983,+0014.0,19800604,20150513
010740,99999,MEHAMN,NO,,ENMH,+71.033,+027.833,+0013.0,19750905,20150513
010750,99999,RUSTEFJELBMA,NO,,,+70.400,+028.200,+0011.2,19730101,20130531
010760,99999,TANABRU,NO,,,+70.217,+028.167,+0032.0,20121121,20150513
010780,99999,SLETTNES FYR,NO,,,+71.100,+028.233,+0010.0,19730101,20150512
010820,99999,NYRUD,NO,,,+69.150,+029.250,+0056.0,19730919,20150513
010830,99999,BERLEVAG,NO,,ENBV,+70.867,+029.033,+0013.0,19750905,20150513
010840,99999,PASVIK,NO,,,+69.450,+030.033,+0027.0,19730101,20150513
010850,99999,BUGOYFJORD,NO,,,+69.850,+029.417,+0008.0,19730101,19781008
010860,99999,BATSFJORD,NO,,ENBS,+70.600,+029.693,+0149.4,20110928,20150513
010875,99999,HEIMDAL OIL PLATFORM,NO,,ENHM,+59.567,+002.217,+0090.0,20110101,20150513
010876,99999,NORNE OIL PLATFORM,NO,,ENNE,+66.017,+008.083,+0090.0,20110101,20150513
010877,99999,TROLL A  OIL PLATFORM,NO,,ENQA,+60.633,+003.717,+0090.0,20110101,20150513
010878,99999,SNORRE A  OIL PLATFORM,NO,,ENSE,+61.450,+002.133,+0090.0,20110101,20150513
010879,99999,SNORRE B  OIL PLATFORM,NO,,ENQR,+61.533,+002.200,+0090.0,20110101,20150513
010880,99999,VADSO,NO,,ENVD,+70.067,+029.850,+0039.0,19750905,20150513
010881,99999,NARVIK III/FRAMNES,NO,,,+68.467,+017.500,+0023.0,20050405,20111020
010882,99999,ROROS,NO,,ENRO,+62.578,+011.342,+0626.1,20050405,20150513
010883,99999,SANDANE/ANDA,NO,,,+61.833,+006.117,+0060.0,20050405,20111014
010884,99999,GEITERYGGEN,NO,,ENSN,+59.185,+009.567,+0141.1,20050405,20150512
010885,99999,BATSFJORD,NO,,,+70.600,+029.733,+0153.0,19940718,20111014
010886,99999,SLEIPNER A OIL PLATFORM,NO,,ENSL,+58.367,+001.900,+0030.0,20050405,20150513
010887,99999,TROLL C OIL PLATFORM,NO,,ENQC,+60.886,+003.610,+0020.0,20110512,20150513
010890,99999,HOYBUKTMOEN,NO,,ENKR,+69.726,+029.893,+0086.3,19401101,20150513
010920,99999,MAKKAUR FYR,NO,,,+70.700,+030.083,+0009.0,19730101,20150513
010970,99999,SVARTNES,NO,,,+70.350,+031.050,+0012.0,19930209,20111014
010980,99999,VARDO,NO,,,+70.367,+031.100,+0015.0,19310103,20150513
010990,99999,VARDO AP / SVARTNES,NO,,ENSS,+70.355,+031.045,+0012.8,20110928,20150513
011010,99999,BOGUS NORWEGIAN,NO,,,,,,19851202,20070307
011020,99999,SKLINNA FYR,NO,,,+65.200,+011.000,+0016.0,19750228,20150513
011025,99999,HEIDRUN,NO,,ENHE,+65.333,+007.317,+0080.0,19990424,20150513
011030,99999,LEKA,NO,,,+65.100,+011.700,+0047.0,19730101,20070307
011040,99999,ROTVAER,NO,,,+68.367,+015.950,+0008.0,20070605,20080817
011050,99999,ROTVAER,NO,,,+68.367,+015.950,+0008.0,19730101,20150513
011051,99999,SKOMVAER (LGT-H),NO,,,+67.417,+011.883,+0018.0,20070307,20070307
011060,99999,ROEST III,NO,,,+67.517,+012.100,+0002.0,19280101,20081204
011070,99999,ROST (NOR-AFB),NO,,ENRS,+67.517,+012.100,+0004.0,19880303,20150513
011080,99999,VEGA-VALLSJO,NO,,,+65.700,+011.850,+0009.1,19910801,20150513
011090,99999,SKALVAER,NO,,,+65.867,+012.183,+0006.0,19730101,19800910
011100,99999,YTTERHOLMEN FYR,NO,,,+66.000,+011.683,+0033.0,19961201,20050319
011110,99999,BRONNOYSUND,NO,,,+65.467,+012.217,+0005.0,19730116,19730718
011120,99999,BRONNOY,NO,,ENBN,+65.461,+012.218,+0007.6,19730101,20150513
011130,99999,GLOMFJORD,NO,,,+66.800,+013.983,+0039.0,20040406,20091216
011133,99999,DAGALI,NO,,ENDI,+60.417,+008.513,+0798.0,19860509,20030427
011140,99999,REIPA,NO,,,+66.900,+013.633,+0008.0,20090702,20150513
011150,99999,MYKEN,NO,,,+66.767,+012.483,+0013.0,19730101,20150512
011160,99999,STOKKA,NO,,ENST,+65.950,+012.467,+0017.1,19730401,20150513
011170,99999,TJOTTA,NO,,,+65.817,+012.417,+0021.0,20040119,20150512
011210,99999,SOLVAER III,NO,,,+66.367,+012.617,+0010.0,19730101,20150513
011220,99999,KJAERSTAD,NO,,ENMS,+65.784,+013.215,+0072.2,19881014,20150513
011240,99999,SNASA,NO,,,+64.167,+012.467,+0195.0,20050218,20150513
011310,99999,GLAPEN LIGHTHOUSE,NO,,,+67.883,+013.050,+0031.0,19730101,19850625
011320,99999,MAJAVATN V,NO,,,+65.167,+013.367,+0319.0,20080229,20150513
011330,99999,LAKSFORS,NO,,,+65.617,+013.283,+0050.0,20111129,20150513
011340,99999,MAJAVATN III,NO,,,+65.183,+013.417,+0339.0,19730101,20070630
011350,99999,SELJELIA,NO,,,+66.117,+013.583,+0123.0,20111129,20150513
011370,99999,STOTT,NO,,,+66.933,+013.450,+0012.0,19730806,20070307
011380,99999,TENNHOLMEN (LGT-H),NO,,,+67.300,+013.500,+0014.0,19850912,20070307
